"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Kdm6b",0,0.627691907560867,0.492,0.18,0,"0","Kdm6b"
"Rgs3",0,0.625033159556605,0.456,0.214,0,"0","Rgs3"
"Atf4",0,0.608765981667426,0.705,0.42,0,"0","Atf4"
"Gm43813",0,0.603672131243133,0.537,0.237,0,"0","Gm43813"
"Cebpd",0,0.600043440663259,0.715,0.528,0,"0","Cebpd"
"Brd2",0,0.599054788237988,0.689,0.441,0,"0","Brd2"
"Ddx5",0,0.59610119282907,0.996,0.949,0,"0","Ddx5"
"Cebpb",0,0.587951970202897,0.939,0.761,0,"0","Cebpb"
"Ier3",0,0.587655731930996,0.828,0.483,0,"0","Ier3"
"Zfand5",0,0.583661363599308,0.803,0.584,0,"0","Zfand5"
"Pik3r1",0,0.574312714173992,0.864,0.651,0,"0","Pik3r1"
"Tsc22d2",0,0.569201949463365,0.639,0.363,0,"0","Tsc22d2"
"Hist1h1c",0,0.565497846158066,0.612,0.378,0,"0","Hist1h1c"
"Actg1",0,0.562163785801481,0.991,0.917,0,"0","Actg1"
"Il10ra",0,0.552367391115356,0.838,0.596,0,"0","Il10ra"
"Dnajb1",0,0.549077183016078,0.446,0.277,0,"0","Dnajb1"
"Egr2",0,0.548674494145659,0.347,0.107,0,"0","Egr2"
"Casp4",0,0.544928665362621,0.478,0.234,0,"0","Casp4"
"Egr3",0,0.537608027138192,0.225,0.098,0,"0","Egr3"
"Irf2bpl",0,0.533976667911586,0.664,0.411,0,"0","Irf2bpl"
"Gem",0,0.520358331585688,0.445,0.23,0,"0","Gem"
"Arrdc3",0,0.51280476986968,0.445,0.199,0,"0","Arrdc3"
"Spry1",0,0.512088452551182,0.294,0.112,0,"0","Spry1"
"Ccnl1",0,0.510832991041804,0.804,0.557,0,"0","Ccnl1"
"Skil",0,0.506053861241992,0.852,0.635,0,"0","Skil"
"Ddx3x",0,0.503176519163453,0.694,0.472,0,"0","Ddx3x"
"Rnf19b",0,0.498632625747882,0.561,0.335,0,"0","Rnf19b"
"Nfkbid",0,0.487899572359629,0.606,0.36,0,"0","Nfkbid"
"Csrnp1",0,0.482384103859377,0.37,0.142,0,"0","Csrnp1"
"Neat1",0,0.469798349233452,0.695,0.447,0,"0","Neat1"
"Sat1",0,0.469236931216977,0.977,0.907,0,"0","Sat1"
"Mylip",0,0.468201633320861,0.86,0.68,0,"0","Mylip"
"Ptms",0,0.460083841245581,0.906,0.777,0,"0","Ptms"
"Adrb1",0,0.456361730776803,0.465,0.261,0,"0","Adrb1"
"Ptma",0,0.453369095787312,0.996,0.945,0,"0","Ptma"
"Ddit3",0,0.442779380584491,0.451,0.24,0,"0","Ddit3"
"Dennd4a",0,0.44178309520542,0.854,0.648,0,"0","Dennd4a"
"2410006H16Rik",0,0.439136693405131,0.746,0.498,0,"0","2410006H16Rik"
"Neurl3",0,0.436730544897565,0.651,0.446,0,"0","Neurl3"
"Sertad1",0,0.435531992411563,0.321,0.126,0,"0","Sertad1"
"Irf1",0,0.433620572906622,0.471,0.261,0,"0","Irf1"
"Tgif1",0,0.426280095997898,0.534,0.317,0,"0","Tgif1"
"Rel",0,0.42431795454547,0.627,0.393,0,"0","Rel"
"Ccrl2",0,0.417764660948563,0.567,0.355,0,"0","Ccrl2"
"Crybb1",0,0.413249349621184,0.856,0.666,0,"0","Crybb1"
"Tubb2a",0,0.411895170872856,0.559,0.378,0,"0","Tubb2a"
"Tmx4",0,0.411444263399472,0.58,0.426,0,"0","Tmx4"
"Erf",0,0.411179161296386,0.532,0.316,0,"0","Erf"
"Trim8",0,0.405545865973753,0.641,0.417,0,"0","Trim8"
"Zbtb7a",0,0.404726356741844,0.675,0.466,0,"0","Zbtb7a"
"Hist1h2bc",0,0.403211511226254,0.511,0.351,0,"0","Hist1h2bc"
"Ncf2",0,0.401340976467798,0.8,0.592,0,"0","Ncf2"
"Per1",0,0.397271796600534,0.335,0.127,0,"0","Per1"
"Smad7",0,0.397066762880696,0.889,0.728,0,"0","Smad7"
"Rrad",0,0.396438561645055,0.278,0.14,0,"0","Rrad"
"Csnk1e",0,0.384538837803326,0.87,0.696,0,"0","Csnk1e"
"Cbx4",0,0.383104376924711,0.343,0.155,0,"0","Cbx4"
"Purb",0,0.369400857763163,0.871,0.707,0,"0","Purb"
"Dleu2",0,0.36391081753865,0.921,0.767,0,"0","Dleu2"
"Tra2b",0,0.36288320763286,0.803,0.631,0,"0","Tra2b"
"Marcksl1",0,0.358159665677503,0.503,0.303,0,"0","Marcksl1"
"Rcan1",0,0.357378746231662,0.281,0.166,0,"0","Rcan1"
"Calm2",0,0.355973991910914,0.986,0.931,0,"0","Calm2"
"Cebpg",0,0.355758889242205,0.8,0.614,0,"0","Cebpg"
"Usp2",0,0.348247871421749,0.69,0.494,0,"0","Usp2"
"Mknk2",0,0.336883315335541,0.408,0.229,0,"0","Mknk2"
"Fscn1",0,0.336706174781483,0.764,0.579,0,"0","Fscn1"
"Tfe3",0,0.33156364927037,0.657,0.455,0,"0","Tfe3"
"Chd4",0,0.331461978937915,0.703,0.534,0,"0","Chd4"
"Ncf1",0,0.330248672528065,0.858,0.707,0,"0","Ncf1"
"Herpud1",0,0.329772206426691,0.857,0.671,0,"0","Herpud1"
"Bcl10",0,0.328962005308752,0.646,0.454,0,"0","Bcl10"
"Jmjd1c",0,0.327197525432958,0.843,0.688,0,"0","Jmjd1c"
"Rassf1",0,0.326980467113541,0.439,0.262,0,"0","Rassf1"
"Clip1",0,0.325759485173989,0.625,0.463,0,"0","Clip1"
"Rab43",0,0.325526916119305,0.414,0.232,0,"0","Rab43"
"Plek",0,0.324385841785792,0.814,0.639,0,"0","Plek"
"Arl4c",0,0.324223917655904,0.853,0.693,0,"0","Arl4c"
"Sall3",0,0.320855485282764,0.495,0.33,0,"0","Sall3"
"Slc38a2",0,0.31907668251693,0.664,0.477,0,"0","Slc38a2"
"Camk2n1",0,0.316573229370511,0.683,0.53,0,"0","Camk2n1"
"Sparc",0,0.316573160920758,0.999,0.961,0,"0","Sparc"
"Slc16a6",0,0.31306608049145,0.705,0.527,0,"0","Slc16a6"
"Akirin2",0,0.312784182274256,0.759,0.573,0,"0","Akirin2"
"Midn",0,0.311570347773245,0.358,0.198,0,"0","Midn"
"Nuak2",0,0.310715384563923,0.302,0.155,0,"0","Nuak2"
"H1f0",0,0.310710458511795,0.272,0.18,0,"0","H1f0"
"Bcl2a1b",0,0.310516473405301,0.887,0.73,0,"0","Bcl2a1b"
"Sertad3",0,0.309206592931324,0.24,0.094,0,"0","Sertad3"
"Plekho1",0,0.307487020128492,0.876,0.73,0,"0","Plekho1"
"Trim47",0,0.307121997866963,0.38,0.221,0,"0","Trim47"
"Tnfaip8l2",0,0.305714675568782,0.847,0.672,0,"0","Tnfaip8l2"
"Ppp1r10",0,0.303660604665435,0.609,0.427,0,"0","Ppp1r10"
"Gpx1",0,0.302117588608695,0.837,0.681,0,"0","Gpx1"
"Tbpl1",0,0.298674603670748,0.446,0.293,0,"0","Tbpl1"
"Pdgfb",0,0.297236616470576,0.715,0.59,0,"0","Pdgfb"
"Srsf5",0,0.295946720891839,0.886,0.744,0,"0","Srsf5"
"Tsc22d4",0,0.295897996536621,0.881,0.745,0,"0","Tsc22d4"
"Lag3",0,0.292559185115458,0.843,0.68,0,"0","Lag3"
"Zfhx3",0,0.291664658640221,0.956,0.838,0,"0","Zfhx3"
"Hpgd",0,0.291217730676528,0.941,0.828,0,"0","Hpgd"
"Ogfrl1",0,0.290105345002827,0.716,0.546,0,"0","Ogfrl1"
"Irf2bp2",0,0.289755893488872,0.809,0.661,0,"0","Irf2bp2"
"Eif1",0,0.289588791825886,0.996,0.964,0,"0","Eif1"
"Irf5",0,0.289055999131377,0.703,0.531,0,"0","Irf5"
"Tgfb1",0,0.289054570601841,0.892,0.777,0,"0","Tgfb1"
"Dnajb4",0,0.288837761370734,0.347,0.188,0,"0","Dnajb4"
"Wsb1",0,0.287246411229448,0.658,0.48,0,"0","Wsb1"
"Gm34455",0,0.28665930594889,0.285,0.154,0,"0","Gm34455"
"Itgb5",0,0.284354915849521,0.988,0.918,0,"0","Itgb5"
"Rlim",0,0.284127569048252,0.45,0.273,0,"0","Rlim"
"Chka",0,0.282642563443577,0.395,0.268,0,"0","Chka"
"St3gal6",0,0.278473877777326,0.859,0.716,0,"0","St3gal6"
"Ldhb",0,0.27788262743932,0.946,0.834,0,"0","Ldhb"
"Mob3c",0,0.277426206286569,0.448,0.276,0,"0","Mob3c"
"Sbno2",0,0.277087649798918,0.434,0.279,0,"0","Sbno2"
"Sqstm1",0,0.274861333714125,0.456,0.298,0,"0","Sqstm1"
"Gm43305",0,0.274667426720921,0.324,0.183,0,"0","Gm43305"
"Trf",0,0.269095135072101,0.981,0.909,0,"0","Trf"
"Mvp",0,0.268882089977321,0.409,0.261,0,"0","Mvp"
"Plekho2",0,0.267174604184886,0.347,0.211,0,"0","Plekho2"
"Ctss",0,0.26348914998482,0.999,0.982,0,"0","Ctss"
"Ifrd1",0,0.263194258595552,0.428,0.276,0,"0","Ifrd1"
"Rhoh",0,0.263123702028607,0.881,0.728,0,"0","Rhoh"
"Cdkn1b",0,0.262353777521106,0.411,0.245,0,"0","Cdkn1b"
"Hnrnpa0",0,0.26063549307117,0.897,0.77,0,"0","Hnrnpa0"
"Ifitm10",0,0.259931263456345,0.276,0.129,0,"0","Ifitm10"
"Sox4",0,0.258394622371528,0.687,0.511,0,"0","Sox4"
"Ypel3",0,0.258360721306916,0.785,0.592,0,"0","Ypel3"
"Ccng2",0,0.258239875970057,0.459,0.276,0,"0","Ccng2"
"Rgs10",0,0.257259424980067,0.997,0.961,0,"0","Rgs10"
"Srgn",0,0.255471423575756,0.815,0.666,0,"0","Srgn"
"Pcf11",0,0.255321376160942,0.458,0.298,0,"0","Pcf11"
"Slc1a3",0,0.25479151637975,0.709,0.528,0,"0","Slc1a3"
"Cggbp1",0,0.252670253469467,0.567,0.421,0,"0","Cggbp1"
"Dyrk2",0,0.25094469413587,0.407,0.251,0,"0","Dyrk2"
"Cst3",0,0.250316550605675,1,1,0,"0","Cst3"
"Cisd1",0,-0.251150803702715,0.223,0.312,0,"0","Cisd1"
"Tyms",0,-0.251528940059295,0.073,0.163,0,"0","Tyms"
"Sp100",0,-0.252850051625639,0.074,0.163,0,"0","Sp100"
"Lsm2",0,-0.253049714488743,0.217,0.304,0,"0","Lsm2"
"Flna",0,-0.253840697064334,0.137,0.231,0,"0","Flna"
"Xaf1",0,-0.254114951848729,0.108,0.193,0,"0","Xaf1"
"Fen1",0,-0.254189180355125,0.077,0.181,0,"0","Fen1"
"Cox8a",0,-0.2543992793287,0.911,0.874,0,"0","Cox8a"
"Dad1",0,-0.255256947634714,0.794,0.771,0,"0","Dad1"
"Rps26",0,-0.255589938698859,0.973,0.942,0,"0","Rps26"
"Dtymk",0,-0.256106997428243,0.164,0.26,0,"0","Dtymk"
"Pebp1",0,-0.256595671762543,0.698,0.694,0,"0","Pebp1"
"Cks1b",0,-0.261286518002394,0.036,0.154,0,"0","Cks1b"
"Rpl32",0,-0.262023480977719,0.995,0.977,0,"0","Rpl32"
"Serf2",0,-0.265559851959717,0.941,0.902,0,"0","Serf2"
"Tma7",0,-0.266603883120298,0.678,0.675,0,"0","Tma7"
"Sumo2",0,-0.267613102698316,0.778,0.751,0,"0","Sumo2"
"Atp5l",0,-0.267784781257244,0.742,0.732,0,"0","Atp5l"
"Topbp1",0,-0.268263263115982,0.08,0.194,0,"0","Topbp1"
"Erp29",0,-0.270382018139388,0.962,0.93,0,"0","Erp29"
"Nes",0,-0.27061594136169,0.015,0.113,0,"0","Nes"
"Canx",0,-0.273781109123924,0.787,0.787,0,"0","Canx"
"Pomp",0,-0.273854999540259,0.846,0.813,0,"0","Pomp"
"Siva1",0,-0.275374673224728,0.159,0.263,0,"0","Siva1"
"Tnfsf9",0,-0.275873422571337,0.06,0.126,0,"0","Tnfsf9"
"Tmem14c",0,-0.27655259298423,0.711,0.709,0,"0","Tmem14c"
"Hat1",0,-0.277040990807512,0.143,0.245,0,"0","Hat1"
"Tipin",0,-0.277907090686756,0.08,0.198,0,"0","Tipin"
"Ndufa2",0,-0.279105966467382,0.666,0.673,0,"0","Ndufa2"
"Rps18",0,-0.281066731535796,0.99,0.97,0,"0","Rps18"
"Nsd2",0,-0.281834553460433,0.165,0.253,0,"0","Nsd2"
"Ndufa5",0,-0.282200525599366,0.348,0.424,0,"0","Ndufa5"
"Mcm2",0,-0.28252911653927,0.014,0.152,0,"0","Mcm2"
"Nhp2",0,-0.28336142753469,0.236,0.324,0,"0","Nhp2"
"Ppa1",0,-0.284116643062463,0.089,0.213,0,"0","Ppa1"
"Rpl35",0,-0.285396417506005,0.954,0.927,0,"0","Rpl35"
"Spcs2",0,-0.285758146573491,0.873,0.86,0,"0","Spcs2"
"Ppia",0,-0.287835562073759,0.995,0.973,0,"0","Ppia"
"Usp18",0,-0.28805783286263,0.021,0.102,0,"0","Usp18"
"Mrpl18",0,-0.288308642062572,0.309,0.391,0,"0","Mrpl18"
"Park7",0,-0.288389290188292,0.733,0.709,0,"0","Park7"
"Syngr1",0,-0.29212086674214,0.879,0.828,0,"0","Syngr1"
"Gusb",0,-0.293445088701086,0.651,0.652,0,"0","Gusb"
"Cd68",0,-0.294122463298056,0.928,0.896,0,"0","Cd68"
"Hsd17b12",0,-0.294184226686955,0.293,0.381,0,"0","Hsd17b12"
"Ly86",0,-0.29508954812347,0.998,0.97,0,"0","Ly86"
"Smc2",0,-0.295993521566795,0.097,0.198,0,"0","Smc2"
"Sec61g",0,-0.296899671636511,0.73,0.719,0,"0","Sec61g"
"Ndufs5",0,-0.297492969106496,0.515,0.553,0,"0","Ndufs5"
"Dnajc9",0,-0.29867699489004,0.082,0.205,0,"0","Dnajc9"
"Snrpe",0,-0.29967184945995,0.522,0.556,0,"0","Snrpe"
"Rpl38",0,-0.300394460610802,0.976,0.958,0,"0","Rpl38"
"Mrpl33",0,-0.300678170102868,0.329,0.404,0,"0","Mrpl33"
"Lilrb4a",0,-0.301300892089336,0.016,0.113,0,"0","Lilrb4a"
"Ndufb9",0,-0.301672180286678,0.642,0.654,0,"0","Ndufb9"
"Cox6b1",0,-0.302985705875552,0.731,0.719,0,"0","Cox6b1"
"Timm13",0,-0.303944011049046,0.493,0.539,0,"0","Timm13"
"Atpif1",0,-0.304688546756803,0.713,0.709,0,"0","Atpif1"
"Tmem208",0,-0.305236343116377,0.474,0.535,0,"0","Tmem208"
"Gmnn",0,-0.305483294293277,0.039,0.169,0,"0","Gmnn"
"Tomm7",0,-0.306905610843352,0.591,0.619,0,"0","Tomm7"
"Tmed10",0,-0.307020455123703,0.838,0.832,0,"0","Tmed10"
"Mcm7",0,-0.307155445068568,0.042,0.172,0,"0","Mcm7"
"Irf7",0,-0.309156063092191,0.018,0.106,0,"0","Irf7"
"Rpl14",0,-0.314365928230166,0.975,0.952,0,"0","Rpl14"
"Cops9",0,-0.314662335724794,0.497,0.546,0,"0","Cops9"
"Sdc3",0,-0.316430111892959,0.101,0.221,0,"0","Sdc3"
"Snrpa1",0,-0.317373588904559,0.251,0.347,0,"0","Snrpa1"
"Rps17",0,-0.31743012532372,0.936,0.904,0,"0","Rps17"
"Ndufa12",0,-0.318068643718859,0.39,0.457,0,"0","Ndufa12"
"Npm1",0,-0.318855336709584,0.893,0.834,0,"0","Npm1"
"Pdia3",0,-0.319816248425739,0.868,0.833,0,"0","Pdia3"
"Fth1",0,-0.320594243308181,0.999,0.992,0,"0","Fth1"
"Tmed9",0,-0.32166252499262,0.825,0.832,0,"0","Tmed9"
"Sec61b",0,-0.322138539909773,0.68,0.678,0,"0","Sec61b"
"Cd72",0,-0.322327341985526,0.045,0.143,0,"0","Cd72"
"Hspe1",0,-0.323198076187613,0.702,0.682,0,"0","Hspe1"
"Ndufc1",0,-0.323731788409303,0.373,0.452,0,"0","Ndufc1"
"Cox5b",0,-0.325609229888293,0.601,0.62,0,"0","Cox5b"
"Ssr2",0,-0.325761685176941,0.466,0.53,0,"0","Ssr2"
"Sem1",0,-0.32617339705437,0.699,0.699,0,"0","Sem1"
"Snrpd2",0,-0.326691264334473,0.437,0.497,0,"0","Snrpd2"
"Phf11b",0,-0.327011637627946,0.106,0.183,0,"0","Phf11b"
"Atp5h",0,-0.328307139119176,0.79,0.78,0,"0","Atp5h"
"Hells",0,-0.329749108393547,0.007,0.143,0,"0","Hells"
"Tmed3",0,-0.33086716371733,0.599,0.637,0,"0","Tmed3"
"Pycard",0,-0.330974165611888,0.889,0.849,0,"0","Pycard"
"Atp5j",0,-0.333547582045197,0.743,0.734,0,"0","Atp5j"
"Snrpf",0,-0.333767168940712,0.47,0.519,0,"0","Snrpf"
"Psme1",0,-0.333841419553164,0.686,0.677,0,"0","Psme1"
"Ppib",0,-0.333926697476689,0.925,0.904,0,"0","Ppib"
"Banf1",0,-0.336900620040682,0.287,0.381,0,"0","Banf1"
"Luc7l3",0,-0.337589051382966,0.483,0.548,0,"0","Luc7l3"
"Ndufb8",0,-0.339623140804414,0.582,0.619,0,"0","Ndufb8"
"Cox7c",0,-0.341779263983779,0.827,0.804,0,"0","Cox7c"
"Uqcrb",0,-0.344842859723655,0.647,0.657,0,"0","Uqcrb"
"Rps19",0,-0.345493424046454,0.987,0.967,0,"0","Rps19"
"Cbx5",0,-0.349523231877077,0.098,0.233,0,"0","Cbx5"
"Uqcc2",0,-0.354250917753955,0.376,0.462,0,"0","Uqcc2"
"Mcm5",0,-0.354272680053149,0.017,0.171,0,"0","Mcm5"
"Ndufb7",0,-0.355586952731014,0.525,0.575,0,"0","Ndufb7"
"Stat1",0,-0.358932862475592,0.205,0.296,0,"0","Stat1"
"Nedd8",0,-0.359415925024631,0.684,0.696,0,"0","Nedd8"
"Atad2",0,-0.361543622784434,0.095,0.215,0,"0","Atad2"
"Slamf9",0,-0.363486843407258,0.35,0.421,0,"0","Slamf9"
"Slfn5",0,-0.363582930292387,0.025,0.12,0,"0","Slfn5"
"Gm10076",0,-0.363904057298205,0.773,0.769,0,"0","Gm10076"
"Dut",0,-0.364461292999156,0.035,0.168,0,"0","Dut"
"Emp3",0,-0.365102248394487,0.179,0.278,0,"0","Emp3"
"Cox7a2",0,-0.366649036491455,0.647,0.665,0,"0","Cox7a2"
"Uqcr10",0,-0.366796639961103,0.472,0.544,0,"0","Uqcr10"
"Cox5a",0,-0.366862156418074,0.584,0.605,0,"0","Cox5a"
"Cd9",0,-0.370316367879095,0.993,0.946,0,"0","Cd9"
"Mydgf",0,-0.373619547441485,0.499,0.573,0,"0","Mydgf"
"Ndufb1-ps",0,-0.374798459153916,0.54,0.59,0,"0","Ndufb1-ps"
"Tmem256",0,-0.3774402346387,0.419,0.495,0,"0","Tmem256"
"Hsp90ab1",0,-0.386273581823209,0.986,0.948,0,"0","Hsp90ab1"
"Pgk1",0,-0.386897407980963,0.331,0.403,0,"0","Pgk1"
"Ndufa13",0,-0.389836756492602,0.709,0.746,0,"0","Ndufa13"
"Rpl41",0,-0.396753099794679,0.991,0.97,0,"0","Rpl41"
"Lig1",0,-0.397732477887992,0.054,0.198,0,"0","Lig1"
"Cox7b",0,-0.397778289548664,0.546,0.589,0,"0","Cox7b"
"Krtcap2",0,-0.399594747942373,0.622,0.667,0,"0","Krtcap2"
"H2afz",0,-0.401599302800173,0.875,0.831,0,"0","H2afz"
"Dnajb11",0,-0.403832875440191,0.519,0.58,0,"0","Dnajb11"
"Elob",0,-0.404139526882152,0.728,0.723,0,"0","Elob"
"AI506816",0,-0.405585365282489,0.132,0.276,0,"0","AI506816"
"Selenow",0,-0.40689281486451,0.261,0.341,0,"0","Selenow"
"Slfn2",0,-0.40878022551319,0.175,0.292,0,"0","Slfn2"
"Cox6c",0,-0.409521587784399,0.725,0.735,0,"0","Cox6c"
"Psme2",0,-0.409587530586419,0.472,0.526,0,"0","Psme2"
"Atp5k",0,-0.41213902708206,0.409,0.504,0,"0","Atp5k"
"Rps27l",0,-0.412916694128777,0.59,0.614,0,"0","Rps27l"
"Ctsc",0,-0.413464187757545,0.826,0.807,0,"0","Ctsc"
"Uqcrq",0,-0.418158377687859,0.586,0.615,0,"0","Uqcrq"
"Snrpd1",0,-0.420077323657342,0.357,0.448,0,"0","Snrpd1"
"Hspa1b",0,-0.42014127686183,0.063,0.134,0,"0","Hspa1b"
"Rtp4",0,-0.422532990686497,0.057,0.191,0,"0","Rtp4"
"Ly6e",0,-0.429544906356548,0.96,0.94,0,"0","Ly6e"
"Rpn1",0,-0.431734524145819,0.388,0.502,0,"0","Rpn1"
"Atp5j2",0,-0.432669153929496,0.714,0.721,0,"0","Atp5j2"
"Tpi1",0,-0.432756874933776,0.428,0.472,0,"0","Tpi1"
"Fkbp2",0,-0.432865493139453,0.668,0.702,0,"0","Fkbp2"
"Nap1l1",0,-0.434701943755998,0.351,0.435,0,"0","Nap1l1"
"Uqcr11",0,-0.443906601098703,0.582,0.63,0,"0","Uqcr11"
"Mcm3",0,-0.447290047396545,0.177,0.304,0,"0","Mcm3"
"Mcm6",0,-0.449735428567063,0.043,0.213,0,"0","Mcm6"
"Tspo",0,-0.450542075703214,0.47,0.522,0,"0","Tspo"
"Rbm3",0,-0.452929359739288,0.68,0.684,0,"0","Rbm3"
"Hsp90b1",0,-0.453641610054874,0.962,0.945,0,"0","Hsp90b1"
"Ifi204",0,-0.461508064284388,0.051,0.151,0,"0","Ifi204"
"Rps2",0,-0.461963198916208,0.983,0.952,0,"0","Rps2"
"Atox1",0,-0.46553761589152,0.767,0.752,0,"0","Atox1"
"Eef1g",0,-0.470971407796937,0.722,0.708,0,"0","Eef1g"
"Pcna",0,-0.47154278974822,0.31,0.378,0,"0","Pcna"
"Cyba",0,-0.47237436134134,0.987,0.972,0,"0","Cyba"
"Lgals3bp",0,-0.475446193541567,0.315,0.409,0,"0","Lgals3bp"
"Atp5e",0,-0.47571706516683,0.798,0.807,0,"0","Atp5e"
"Cybb",0,-0.484432707166279,0.009,0.114,0,"0","Cybb"
"Bola2",0,-0.485222835391779,0.322,0.441,0,"0","Bola2"
"Rpsa",0,-0.486391135743252,0.989,0.965,0,"0","Rpsa"
"Lgals1",0,-0.490926271005142,0.016,0.115,0,"0","Lgals1"
"Pdia6",0,-0.492069178479153,0.855,0.842,0,"0","Pdia6"
"Ssr4",0,-0.492168686703067,0.912,0.892,0,"0","Ssr4"
"Txn1",0,-0.492630117150759,0.371,0.469,0,"0","Txn1"
"Ndufa4",0,-0.497774968877013,0.747,0.764,0,"0","Ndufa4"
"Capg",0,-0.499618242650244,0.133,0.272,0,"0","Capg"
"Tubb5",0,-0.506850969516787,0.791,0.725,0,"0","Tubb5"
"Calr",0,-0.511322958200352,0.964,0.937,0,"0","Calr"
"Ctsb",0,-0.514232925703903,0.992,0.973,0,"0","Ctsb"
"Cd63",0,-0.514878073027593,0.853,0.841,0,"0","Cd63"
"Hint1",0,-0.519983135280848,0.772,0.764,0,"0","Hint1"
"Eif5a",0,-0.528498464594159,0.775,0.728,0,"0","Eif5a"
"Prdx1",0,-0.530603822792748,0.719,0.727,0,"0","Prdx1"
"Atp5g1",0,-0.531492561069094,0.588,0.626,0,"0","Atp5g1"
"Manf",0,-0.536877041852652,0.799,0.777,0,"0","Manf"
"Fxyd5",0,-0.540126460214241,0.045,0.198,0,"0","Fxyd5"
"Ybx1",0,-0.544805312494144,0.798,0.786,0,"0","Ybx1"
"Gm26917",0,-0.561272814913106,0.241,0.378,0,"0","Gm26917"
"Ctsz",0,-0.564632064246638,0.997,0.982,0,"0","Ctsz"
"Cpd",0,-0.572912670770054,0.124,0.301,0,"0","Cpd"
"Ran",0,-0.583041821369556,0.622,0.629,0,"0","Ran"
"Ifitm2",0,-0.583167309638257,0.025,0.124,0,"0","Ifitm2"
"Pkm",0,-0.60429035863398,0.662,0.648,0,"0","Pkm"
"Lpl",0,-0.605189492080017,0.051,0.195,0,"0","Lpl"
