"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Egr1",0,1.92558467695325,0.985,0.564,0,"0","Egr1"
"Fos",0,1.73180201567759,0.992,0.666,0,"0","Fos"
"Atf3",0,1.65511094120547,0.912,0.547,0,"0","Atf3"
"Ier2",0,1.62441220667553,0.978,0.546,0,"0","Ier2"
"Jun",0,1.4237819533897,0.999,0.859,0,"0","Jun"
"Dusp1",0,1.36445569108753,0.943,0.544,0,"0","Dusp1"
"Fosb",0,1.35547949485016,0.831,0.367,0,"0","Fosb"
"Btg2",0,1.34629647771658,0.999,0.842,0,"0","Btg2"
"Jund",0,1.28677401832825,0.999,0.892,0,"0","Jund"
"Ier5",0,1.28397856221588,0.998,0.86,0,"0","Ier5"
"Junb",0,1.24430502375549,0.999,0.888,0,"0","Junb"
"Cd83",0,1.21871105156645,0.896,0.562,0,"0","Cd83"
"Nfkbia",0,1.17818313056827,0.981,0.704,0,"0","Nfkbia"
"Zfp36",0,1.15489996723557,0.998,0.828,0,"0","Zfp36"
"H3f3b",0,1.09493421143198,0.999,0.98,0,"0","H3f3b"
"Tsc22d3",0,1.09294572584335,0.736,0.341,0,"0","Tsc22d3"
"Tagap",0,1.08564200252202,0.785,0.392,0,"0","Tagap"
"Rhob",0,1.05232903335376,0.999,0.937,0,"0","Rhob"
"Socs3",0,1.0357629092189,0.901,0.522,0,"0","Socs3"
"Ubc",0,1.02661063197279,0.999,0.973,0,"0","Ubc"
"Klf2",0,1.01947901525017,0.613,0.313,0,"0","Klf2"
"Gm26532",0,0.979770394914503,0.941,0.545,0,"0","Gm26532"
"Icam1",0,0.927958992265421,0.825,0.524,0,"0","Icam1"
"Ppp1r15a",0,0.927614398770992,0.801,0.413,0,"0","Ppp1r15a"
"Cebpa",0,0.921462463045467,0.854,0.589,0,"0","Cebpa"
"Glul",0,0.912407448115185,0.976,0.846,0,"0","Glul"
"Mafb",0,0.899824960926324,0.983,0.897,0,"0","Mafb"
"Nfkbiz",0,0.896472734190266,0.799,0.395,0,"0","Nfkbiz"
"Mcl1",0,0.866809156514567,0.977,0.794,0,"0","Mcl1"
"Tnfaip3",0,0.863781365525421,0.713,0.353,0,"0","Tnfaip3"
"Cited2",0,0.851917134927962,0.656,0.396,0,"0","Cited2"
"Kctd12",0,0.850280825632267,0.994,0.925,0,"0","Kctd12"
"Adrb2",0,0.796434995495165,0.876,0.648,0,"0","Adrb2"
"Ucp2",0,0.786783725088561,0.93,0.7,0,"0","Ucp2"
"Btg1",0,0.785660184589305,0.955,0.774,0,"0","Btg1"
"Zfp36l2",0,0.763771712053642,0.952,0.778,0,"0","Zfp36l2"
"Tob2",0,0.762529136891042,0.66,0.331,0,"0","Tob2"
"Klf6",0,0.757016316004053,0.798,0.53,0,"0","Klf6"
"Sgk1",0,0.750206842020949,0.849,0.684,0,"0","Sgk1"
"Klf4",0,0.746076486250592,0.451,0.181,0,"0","Klf4"
"Zfp36l1",0,0.74142983132194,0.959,0.791,0,"0","Zfp36l1"
"Il1a",0,0.73432475469361,0.813,0.508,0,"0","Il1a"
"Pnrc1",0,0.729663200862215,0.907,0.667,0,"0","Pnrc1"
"Nr4a1",0,0.728718496077367,0.497,0.245,0,"0","Nr4a1"
"Tent5a",0,0.703685320138131,0.745,0.494,0,"0","Tent5a"
"Clk1",0,0.676905237916961,0.895,0.629,0,"0","Clk1"
"Rgs2",0,0.645244877185766,0.934,0.779,0,"0","Rgs2"
"Dusp6",0,0.637310945236228,0.79,0.56,0,"0","Dusp6"
"Tuba1a",0,0.633270753987899,0.737,0.511,0,"0","Tuba1a"
"Txnip",0,0.62779047366685,0.964,0.847,0,"0","Txnip"
