"","sample_id","sample_name","batch","group","dosing_solution_code","time_point","microchip","animal_id","housing_id","sex","date_of_birth","line","genotype","cohort","iv_dose_mg.kg","species","treatment","dc.","antibody_dose","X.cells_lcms","X.cells_rnaseq","vial"
"40","HSA-000017096","TW24",3,7,"C","14 days","LD9313",18181,"C-6645","Male","2/23/21","hTfR KI x APP-SAA KI","hTfR KI HOM, APP-SAA HOM","ATV:4D9-degly: huIgG1LALA 14 days",10,"Mouse","ATV:4D9","DC3115",10,50000,200,24
"41","HSA-000017094","TW22",3,8,"C","28 days","QI8357",18185,"C-6646","Male","2/16/21","hTfR KI x APP-SAA KI","hTfR KI HOM, APP-SAA HOM","ATV:4D9-degly: huIgG1LALA 28 days",10,"Mouse","ATV:4D9","DC3115",10,50000,200,22
"42","HSA-000017093","TW21",3,4,"C","1 day","VO2199",18184,"C-6646","Male","2/16/21","hTfR KI x APP-SAA KI","hTfR KI HOM, APP-SAA HOM","ATV:4D9-degly: huIgG1LALA 1 day",10,"Mouse","ATV:4D9","DC3115",10,50000,200,21
"43","HSA-000017092","TW20",3,2,"C","1 day","AT3697",17747,"C-6456","Male","1/26/21","hTfR KI","hTfR KI HOM","ATV:4D9-degly: huIgG1LALA 1 day",10,"Mouse","ATV:4D9","DC3115",10,50000,200,20
"44","HSA-000017091","TW19",3,1,"A","1 day","QI8346",18585,"C-6870","Male","1/19/21","hTfR KI","hTfR KI HOM","huIgG1 ATV35.23.3 LALA 1 day",10,"Mouse","ATV:DNP02","DC4162",10,50000,200,19
"45","HSA-000017090","TW18",3,5,"B","1 day","AT3603",18183,"C-6646","Male","2/16/21","hTfR KI x APP-SAA KI","hTfR KI HOM, APP-SAA HOM","4D9VH-3, pRK5-hIgG1-LALAPG (de gly) 1 day",10,"Mouse","4D9","DC2696",10,50000,200,18
"46","HSA-000017088","TW16",2,6,"C","7 days","QI8356",18189,"C-6647","Male","2/16/21","hTfR KI x APP-SAA KI","hTfR KI HOM, APP-SAA HOM","ATV:4D9-degly: huIgG1LALA 7 day",10,"Mouse","ATV:4D9","DC3115",10,50000,200,16
"47","HSA-000017087","TW15",2,8,"C","28 days","LD9315",18188,"C-6647","Male","2/16/21","hTfR KI x APP-SAA KI","hTfR KI HOM, APP-SAA HOM","ATV:4D9-degly: huIgG1LALA 28 days",10,"Mouse","ATV:4D9","DC3115",10,50000,200,15
"48","HSA-000017086","TW14",2,7,"C","14 days","VO2198",18187,"C-6647","Male","2/16/21","hTfR KI x APP-SAA KI","hTfR KI HOM, APP-SAA HOM","ATV:4D9-degly: huIgG1LALA 14 days",10,"Mouse","ATV:4D9","DC3115",10,50000,200,14
"49","HSA-000017085","TW13",2,1,"A","1 day","LD9317",18584,"C-6870","Male","1/19/21","hTfR KI","hTfR KI HOM","huIgG1 ATV35.23.3 LALA 1 day",10,"Mouse","ATV:DNP02","DC4162",10,50000,200,13
