collection,name,feature_id,symbol
scpreproc,dissociation induced,ENSMUSG00000022462,Slc38a2
scpreproc,dissociation induced,ENSMUSG00000013275,Slc41a1
scpreproc,dissociation induced,ENSMUSG00000053113,Socs3
scpreproc,dissociation induced,ENSMUSG00000015837,Sqstm1
scpreproc,dissociation induced,ENSMUSG00000015605,Srf
scpreproc,dissociation induced,ENSMUSG00000021134,Srsf5
scpreproc,dissociation induced,ENSMUSG00000024097,Srsf7
scpreproc,dissociation induced,ENSMUSG00000004040,Stat3
scpreproc,dissociation induced,ENSMUSG00000026547,Tagln2
scpreproc,dissociation induced,ENSMUSG00000034640,Tiparp
scpreproc,dissociation induced,ENSMUSG00000019850,Tnfaip3
scpreproc,dissociation induced,ENSMUSG00000053475,Tnfaip6
scpreproc,dissociation induced,ENSMUSG00000027940,Tpm3
scpreproc,dissociation induced,ENSMUSG00000014846,Tppp3
scpreproc,dissociation induced,ENSMUSG00000029817,Tra2a
scpreproc,dissociation induced,ENSMUSG00000022858,Tra2b
scpreproc,dissociation induced,ENSMUSG00000032501,Trib1
scpreproc,dissociation induced,ENSMUSG00000036752,Tubb4b
scpreproc,dissociation induced,ENSMUSG00000001473,Tubb6
scpreproc,dissociation induced,ENSMUSG00000008348,Ubc
scpreproc,dissociation induced,ENSMUSG00000032010,Usp2
scpreproc,dissociation induced,ENSMUSG00000024283,Wac
scpreproc,dissociation induced,ENSMUSG00000042677,Zc3h12a
scpreproc,dissociation induced,ENSMUSG00000024750,Zfand5
scpreproc,dissociation induced,ENSMUSG00000044786,Zfp36
scpreproc,dissociation induced,ENSMUSG00000021127,Zfp36l1
scpreproc,dissociation induced,ENSMUSG00000045817,Zfp36l2
scpreproc,dissociation induced,ENSMUSG00000029860,Zyx
scpreproc,dissociation induced,ENSMUSG00000021453,Gadd45g
scpreproc,dissociation induced,ENSMUSG00000073676,Hspe1
scpreproc,dissociation induced,ENSMUSG00000056708,Ier5
scpreproc,dissociation induced,ENSMUSG00000047330,Kcne4
