"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ssh2",2.25514848569115e-262,0.527721396409093,0.869,0.852,7.30036667787939e-258,"0","Ssh2"
"Tanc2",3.54510441122175e-262,0.533047803248012,0.836,0.828,1.14762120000071e-257,"0","Tanc2"
"Epb41l2",1.25912799873287e-258,0.457826594113948,0.948,0.951,4.07604915749804e-254,"0","Epb41l2"
"Fcgr3",8.60435756501261e-252,0.374455831083211,0.979,0.973,2.78540263094588e-247,"0","Fcgr3"
"Son",2.27874723710483e-251,0.45638322397869,0.913,0.927,7.37676055595575e-247,"0","Son"
"F11r",2.81118381365903e-251,0.4630513870054,0.885,0.892,9.100364241577e-247,"0","F11r"
"Marcks",4.0494026785694e-241,0.287006760475545,0.997,0.996,1.31087263510648e-236,"0","Marcks"
"Dock4",1.46488822722934e-238,0.585609445776072,0.717,0.688,4.74213616918682e-234,"0","Dock4"
"Gm15503",1.76664325302181e-237,0.701498157360181,0.528,0.398,5.7189775386822e-233,"0","Gm15503"
"Ivns1abp",2.60700933147772e-237,0.504715129744148,0.85,0.865,8.43941060785969e-233,"0","Ivns1abp"
"Scamp2",4.61050311376861e-236,0.442533301528869,0.888,0.908,1.49251206798918e-231,"0","Scamp2"
"Frmd4b",2.91332069736537e-231,0.561668276453944,0.72,0.689,9.43100176151119e-227,"0","Frmd4b"
"Ttc14",1.30752898652822e-229,0.637622437624823,0.633,0.571,4.23273283518914e-225,"0","Ttc14"
"Fcrls",1.15626655307749e-220,0.35270998585699,0.99,0.99,3.74306608562245e-216,"0","Fcrls"
"Mtdh",2.58619680316835e-220,0.369384285545631,0.957,0.971,8.37203629121658e-216,"0","Mtdh"
"Ogt",4.40776916655685e-220,0.619332338287782,0.618,0.557,1.42688303459778e-215,"0","Ogt"
"Golm1",5.28948120724187e-215,0.460781387716838,0.863,0.883,1.71231085640834e-210,"0","Golm1"
"Zeb2",1.06897706698052e-208,0.500554300963982,0.877,0.886,3.46049256122935e-204,"0","Zeb2"
"Pmepa1",5.4626154762055e-208,0.435851509055067,0.947,0.962,1.76835788195725e-203,"0","Pmepa1"
"Scoc",2.0393227815929e-202,0.44098071391767,0.892,0.912,6.60169570857253e-198,"0","Scoc"
"Ecscr",7.97029442979157e-200,0.476874893532056,0.829,0.842,2.58014371281213e-195,"0","Ecscr"
"Sirpa",5.27716223645776e-199,0.383944977980912,0.925,0.947,1.7083229591861e-194,"0","Sirpa"
"Gm42418",7.05899069476048e-199,0.272950492696165,0.996,0.998,2.28513646770786e-194,"0","Gm42418"
"Srrm2",1.07055224632274e-198,0.424364388463021,0.886,0.905,3.46559173179597e-194,"0","Srrm2"
"Plxdc2",1.3609468502081e-192,0.403774794935148,0.906,0.927,4.40565714349366e-188,"0","Plxdc2"
"Tmem86a",9.86745662181149e-192,0.512733365355194,0.725,0.712,3.19429305761282e-187,"0","Tmem86a"
"Arglu1",2.15261571173305e-189,0.53704191523241,0.711,0.71,6.96844758202222e-185,"0","Arglu1"
"P2ry6",6.86475750710909e-184,0.518924579689825,0.733,0.727,2.22225930020135e-179,"0","P2ry6"
"Snrnp70",1.50683269477814e-183,0.460018072542737,0.794,0.809,4.87791879953579e-179,"0","Snrnp70"
"Olfml3",3.39162597203626e-180,0.332007686428288,0.984,0.989,1.09793715966758e-175,"0","Olfml3"
"Ltc4s",4.5427787329879e-179,0.436693987797713,0.91,0.912,1.47058833144284e-174,"0","Ltc4s"
"Apbb1ip",2.82465394269487e-178,0.405970681040742,0.883,0.904,9.14396974329184e-174,"0","Apbb1ip"
"Selenop",1.21591526598654e-169,0.331215553997257,0.977,0.964,3.93616089905164e-165,"0","Selenop"
"Atp2c1",5.08900706467077e-169,0.56906157586981,0.627,0.611,1.64741336697522e-164,"0","Atp2c1"
"Cd33",1.97646573192064e-168,0.456947641840846,0.791,0.807,6.3982148673735e-164,"0","Cd33"
"Arl6ip1",2.56806561417469e-168,0.39182020685207,0.831,0.862,8.31334200620629e-164,"0","Arl6ip1"
"Entpd1",3.63036861764012e-166,0.438904973328901,0.788,0.793,1.17522292890246e-161,"0","Entpd1"
"Rrbp1",1.97549348370834e-163,0.323525763224102,0.967,0.976,6.39506750546063e-159,"0","Rrbp1"
"Krit1",6.21820559863345e-161,0.61985788808903,0.428,0.324,2.01295751638962e-156,"0","Krit1"
"Lair1",3.09439613170797e-160,0.370705260903903,0.907,0.928,1.0017179157565e-155,"0","Lair1"
"Slc2a5",4.91994502129583e-158,0.483900037662371,0.706,0.688,1.59268460229389e-153,"0","Slc2a5"
"Rbm39",1.77464815816803e-153,0.328664869777769,0.918,0.944,5.74489101762153e-149,"0","Rbm39"
"Lpcat2",5.14832162913327e-151,0.281686287841736,0.968,0.983,1.66661467778302e-146,"0","Lpcat2"
"Ptgs1",6.22161131133614e-149,0.366279645223969,0.892,0.913,2.01406001370574e-144,"0","Ptgs1"
"Elmo1",4.70496847668464e-147,0.446830986835605,0.744,0.767,1.52309239527235e-142,"0","Elmo1"
"Nrip1",1.30631817899092e-142,0.403732077912509,0.804,0.809,4.22881320902939e-138,"0","Nrip1"
"Dock10",2.37256819574419e-140,0.475658201609773,0.689,0.69,7.68047776326309e-136,"0","Dock10"
"Sall1",3.15396743345469e-139,0.431749062394716,0.742,0.76,1.02100233755795e-134,"0","Sall1"
"Lyn",1.66688941441229e-138,0.371267288489725,0.836,0.879,5.39605441233545e-134,"0","Lyn"
"Dock8",9.86266714661133e-136,0.447987111403264,0.692,0.712,3.19274260870102e-131,"0","Dock8"
"Cd164",1.83818638188184e-133,0.417964035105261,0.761,0.787,5.95057695542789e-129,"0","Cd164"
"Ophn1",7.53152250018061e-132,0.48236388089525,0.65,0.656,2.43810446375847e-127,"0","Ophn1"
"Asah1",4.08305369575674e-129,0.360769288900982,0.821,0.867,1.32176614239037e-124,"0","Asah1"
"Tmed9",5.02923468779914e-129,0.341941236663347,0.81,0.849,1.62806385313434e-124,"0","Tmed9"
"Hexa",7.50534824715802e-129,0.29603085105613,0.927,0.955,2.42963133456999e-124,"0","Hexa"
"Cd53",2.42628712382532e-127,0.318988271280821,0.884,0.926,7.85437667724732e-123,"0","Cd53"
"9930111J21Rik2",4.59296948933781e-127,0.492794826053695,0.629,0.615,1.48683608308844e-122,"0","9930111J21Rik2"
"Zfhx3",2.29324176907878e-126,0.341159319129143,0.908,0.921,7.42368225486184e-122,"0","Zfhx3"
"Cd300a",3.21367205022212e-126,0.451482530997171,0.619,0.601,1.0403299160979e-121,"0","Cd300a"
"Pwwp2a",8.2861813749725e-126,0.519196387617431,0.559,0.537,2.6824026347061e-121,"0","Pwwp2a"
"Mycbp2",5.94955511182216e-125,0.441072607898779,0.699,0.716,1.92598998079907e-120,"0","Mycbp2"
"Phf14",2.84927742705771e-123,0.490074217930562,0.586,0.575,9.22368088687121e-119,"0","Phf14"
"Susd3",2.95299573450006e-122,0.387428363551093,0.759,0.798,9.55943779172361e-118,"0","Susd3"
"Fyb",4.1464623831484e-117,0.359703395864169,0.833,0.875,1.3422928026728e-112,"0","Fyb"
"Fchsd2",1.06182004274032e-115,0.484987373535016,0.624,0.618,3.43732384235898e-111,"0","Fchsd2"
"Ctsh",6.18347408320969e-114,0.282493981161098,0.952,0.973,2.00171423021664e-109,"0","Ctsh"
"Cmtm6",8.39442047677115e-114,0.339045780113728,0.817,0.863,2.71744179674036e-109,"0","Cmtm6"
"Ccr5",7.35587258950566e-113,0.381608784273374,0.836,0.855,2.38124307467477e-108,"0","Ccr5"
"Chd9",1.99209331347702e-112,0.483933887452536,0.582,0.568,6.44880447438781e-108,"0","Chd9"
"Tmem59",3.70580085399379e-111,0.299494426534761,0.876,0.928,1.19964185245487e-106,"0","Tmem59"
"Luc7l2",3.35782253241075e-108,0.40222019007483,0.76,0.804,1.08699431019201e-103,"0","Luc7l2"
"Man2b1",5.44562630666652e-108,0.297071022341719,0.892,0.926,1.76285814799409e-103,"0","Man2b1"
"Unc93b1",8.04139307956542e-105,0.257570739569655,0.942,0.967,2.60315976771692e-100,"0","Unc93b1"
"Abca9",1.72323163264207e-104,0.466414915437228,0.564,0.546,5.57844544118892e-100,"0","Abca9"
"Bmp2k",1.61264321936464e-103,0.417109822080837,0.699,0.739,5.22044862972723e-99,"0","Bmp2k"
"Serinc1",3.69982195129082e-103,0.385791595311246,0.675,0.712,1.19770636207186e-98,"0","Serinc1"
"Mir99ahg",7.20793398626893e-103,0.460244120810298,0.646,0.66,2.33335239003498e-98,"0","Mir99ahg"
"Hps3",1.40813155932697e-102,0.499756168845204,0.444,0.389,4.55840348385327e-98,"0","Hps3"
"Slco2b1",1.0279449796298e-100,0.332580718635837,0.802,0.839,3.32766348805759e-96,"0","Slco2b1"
"Pip4p1",2.13613722912171e-100,0.415075391580586,0.62,0.634,6.91510343811279e-96,"0","Pip4p1"
"3222401L13Rik",2.75177722347691e-100,0.537281869075589,0.361,0.282,8.90805322783944e-96,"0","3222401L13Rik"
"Celf2",2.78467160058618e-100,0.349986675737629,0.782,0.813,9.01453890541759e-96,"0","Celf2"
"Tmem173",4.31695923111218e-100,0.4045876957466,0.691,0.737,1.39748604229564e-95,"0","Tmem173"
"Mertk",2.42134224814536e-95,0.359375470723273,0.767,0.803,7.83836912569616e-91,"0","Mertk"
"Rnf13",1.26221715558461e-92,0.374317060093907,0.667,0.713,4.08604937605849e-88,"0","Rnf13"
"Gns",5.22165566753174e-92,0.342146654915817,0.73,0.781,1.69035437269337e-87,"0","Gns"
"Adgrg1",2.05413906239621e-91,0.357626160681688,0.713,0.742,6.64965897278901e-87,"0","Adgrg1"
"Cfh",4.07827669714794e-90,0.3088697820384,0.816,0.86,1.32021973240073e-85,"0","Cfh"
"Cd300c2",5.24959309667402e-90,0.258901713842752,0.918,0.945,1.69939827725531e-85,"0","Cd300c2"
"Ankrd44",3.22817408197872e-89,0.443785390321792,0.564,0.567,1.04502451381815e-84,"0","Ankrd44"
"Picalm",4.54029929776567e-89,0.312427088447606,0.847,0.89,1.4697856886727e-84,"0","Picalm"
"Pid1",1.40679833839627e-87,0.468005752451232,0.459,0.415,4.55408758105641e-83,"0","Pid1"
"Cd37",5.52768224743593e-86,0.305717501972345,0.834,0.887,1.78942129713996e-81,"0","Cd37"
"Pnn",3.77620136685164e-85,0.464461285948921,0.552,0.554,1.22243190647721e-80,"0","Pnn"
"Tmem50a",1.77038944935239e-80,0.265489985446653,0.856,0.911,5.73110472544355e-76,"0","Tmem50a"
"Smap2",5.94424844392462e-80,0.260224234286618,0.907,0.95,1.92427210626728e-75,"0","Smap2"
"Itch",9.12610096252491e-80,0.444265376592568,0.503,0.493,2.95430140358856e-75,"0","Itch"
"Adap2",6.1221496865559e-79,0.303110052819323,0.78,0.823,1.98186229653188e-74,"0","Adap2"
"Stx16",1.33285994261218e-78,0.440779021992408,0.433,0.401,4.31473420622416e-74,"0","Stx16"
"Ccnt2",1.2712412087691e-77,0.45270643975661,0.412,0.374,4.11526204102733e-73,"0","Ccnt2"
"Pde3b",2.23263581906267e-77,0.358016153142027,0.686,0.733,7.22748867346967e-73,"0","Pde3b"
"Cd2ap",7.75768778643525e-77,0.40275054782815,0.613,0.655,2.51131869022482e-72,"0","Cd2ap"
"Arl10",2.51041734325714e-76,0.439253095659099,0.289,0.218,8.12672302359202e-72,"0","Arl10"
"Macf1",4.04682998561075e-75,0.369950672140694,0.734,0.793,1.31003980294191e-70,"0","Macf1"
"Csmd3",7.70653486103e-75,0.499971967918524,0.475,0.446,2.49475946521263e-70,"0","Csmd3"
"Lrba",1.42522815900234e-73,0.450362741091078,0.527,0.532,4.61374859632239e-69,"0","Lrba"
"Cd47",3.37351205225887e-73,0.343767407582828,0.642,0.686,1.09207332155724e-68,"0","Cd47"
"Tia1",5.735547203393e-73,0.50184813435851,0.389,0.345,1.85671134068238e-68,"0","Tia1"
"Man1a2",2.06966728961708e-72,0.355619553104108,0.666,0.722,6.69992694994842e-68,"0","Man1a2"
"Selenos",8.60590721904229e-72,0.315976301436045,0.718,0.779,2.78590428494837e-67,"0","Selenos"
"Taz",2.17666539655459e-71,0.444845105884633,0.459,0.443,7.04630122172651e-67,"0","Taz"
"Asph",5.06716961078495e-71,0.395526362449915,0.602,0.64,1.6403441464033e-66,"0","Asph"
"Cmtm7",7.54308869159865e-71,0.314080286598487,0.742,0.798,2.44184867124431e-66,"0","Cmtm7"
"Il6ra",5.97977940851413e-70,0.332866161811654,0.679,0.712,1.9357741901242e-65,"0","Il6ra"
"Itga6",3.82631029374304e-69,0.401048150569131,0.604,0.638,1.2386531682905e-64,"0","Itga6"
"Inpp5d",4.03017310555381e-68,0.271270842372873,0.819,0.87,1.30464763772988e-63,"0","Inpp5d"
"Fcho2",1.96731567684597e-67,0.415627664867491,0.529,0.545,6.36859430908579e-63,"0","Fcho2"
"Map4k4",2.36870750784022e-67,0.341418282831568,0.69,0.74,7.66797994438037e-63,"0","Map4k4"
"Gm10790",5.55386458720841e-67,0.430167918480932,0.368,0.317,1.79789704417111e-62,"0","Gm10790"
"Pla2g15",2.71332774201805e-66,0.337847216606305,0.63,0.682,8.78358456646083e-62,"0","Pla2g15"
"Camk2d",6.30726150831572e-66,0.399091719780031,0.541,0.559,2.04178669547197e-61,"0","Camk2d"
"Ang",1.1561572840325e-65,0.375346031756347,0.631,0.667,3.74271235987e-61,"0","Ang"
"Pros1",2.60440079231011e-65,0.372054254972184,0.564,0.599,8.43096624486628e-61,"0","Pros1"
"Tmem37",5.4106013652807e-65,0.380384388394337,0.585,0.626,1.75151987396867e-60,"0","Tmem37"
"Ints6l",1.70819118975664e-63,0.447724780685448,0.451,0.438,5.52975651948019e-59,"0","Ints6l"
"Zfp950",4.78051741395097e-63,0.494243255668053,0.363,0.318,1.54754909724421e-58,"0","Zfp950"
"Comt",1.65021019117272e-62,0.259588157769233,0.794,0.86,5.34206043086432e-58,"0","Comt"
"Tubgcp5",1.87297835169658e-62,0.456119597769739,0.439,0.424,6.06320552011216e-58,"0","Tubgcp5"
"Zcchc7",3.79067342069491e-62,0.42619753208436,0.474,0.471,1.22711679974736e-57,"0","Zcchc7"
"Spcs2",4.55259850100219e-61,0.258152907127789,0.83,0.888,1.47376718674443e-56,"0","Spcs2"
"Zfp644",5.40894179363846e-60,0.415541921599781,0.457,0.453,1.75098263743664e-55,"0","Zfp644"
"Klf3",1.99301345145771e-59,0.375145398592092,0.582,0.611,6.4517831450589e-55,"0","Klf3"
"Tram1",2.53264682332471e-59,0.377896934535412,0.561,0.604,8.19868429646675e-55,"0","Tram1"
"Retreg1",3.34825819530623e-59,0.310809526419656,0.659,0.721,1.08389814298453e-54,"0","Retreg1"
"Nsd1",6.46198603236518e-59,0.433052632846693,0.468,0.47,2.09187411839726e-54,"0","Nsd1"
"Numb",1.13444397577907e-58,0.363036047608509,0.567,0.597,3.67242203839199e-54,"0","Numb"
"Plgrkt",2.6526601382814e-58,0.345800657926956,0.569,0.618,8.58719139964455e-54,"0","Plgrkt"
"Tmcc3",4.13021008801788e-58,0.286113836162318,0.684,0.724,1.33703160969315e-53,"0","Tmcc3"
"Il10rb",5.78657532975392e-58,0.357672894122026,0.58,0.631,1.87323016574794e-53,"0","Il10rb"
"Arhgap17",8.47397372992945e-58,0.35165865378487,0.58,0.61,2.74319477585276e-53,"0","Arhgap17"
"Slc29a3",8.61247397521057e-58,0.305894516945581,0.683,0.737,2.78803007525517e-53,"0","Slc29a3"
"Mkln1",1.74015561270355e-57,0.397595121770405,0.516,0.538,5.63323174944392e-53,"0","Mkln1"
"Pan3",4.82682635035111e-57,0.425248010721745,0.393,0.364,1.56254022613566e-52,"0","Pan3"
"Ptpra",1.57398650718929e-56,0.357671367222279,0.568,0.609,5.09530912107316e-52,"0","Ptpra"
"Prex1",2.11511089397619e-56,0.357943141145712,0.571,0.615,6.84703698597972e-52,"0","Prex1"
"Rbm25",2.8007923727427e-56,0.318408228028836,0.686,0.749,9.06672506904265e-52,"0","Rbm25"
"Tnfaip8l2",4.84305125224007e-56,0.263219269165274,0.738,0.792,1.56779255137516e-51,"0","Tnfaip8l2"
"Mpeg1",2.20520643913639e-55,0.267414570471929,0.816,0.871,7.13869428477233e-51,"0","Mpeg1"
"March1",2.90434742807808e-55,0.401438557207276,0.474,0.479,9.40195349417435e-51,"0","March1"
"Gna15",4.39374174145821e-55,0.305382470128591,0.645,0.71,1.42234207654485e-50,"0","Gna15"
"Fgd2",1.04088330447399e-54,0.310499455712168,0.666,0.728,3.36954743324321e-50,"0","Fgd2"
"Tcf4",1.46503249011783e-54,0.318041813109577,0.686,0.748,4.74260317700943e-50,"0","Tcf4"
"Snx29",3.02181196887744e-51,0.427816812993642,0.389,0.366,9.78220970565004e-47,"0","Snx29"
"Gm34589",1.32261481745115e-50,0.442529676429147,0.297,0.249,4.28156868705286e-46,"0","Gm34589"
"Rabac1",1.6985380127818e-50,0.250727323835124,0.761,0.839,5.49850725497723e-46,"0","Rabac1"
"Rbm5",1.76968898382619e-50,0.363916579724008,0.523,0.547,5.72883717844215e-46,"0","Rbm5"
"Cttnbp2nl",5.68928991435042e-50,0.267718787194961,0.757,0.823,1.84173693107352e-45,"0","Cttnbp2nl"
"E230029C05Rik",1.17313446350275e-49,0.306127385466227,0.714,0.756,3.79767088525111e-45,"0","E230029C05Rik"
"Gm47664",7.08912585436258e-49,0.423384836123607,0.42,0.406,2.29489182157426e-44,"0","Gm47664"
"Hook3",1.3952662515217e-48,0.395749509421042,0.511,0.541,4.51675590942604e-44,"0","Hook3"
"Tmem176b",3.55406260507521e-48,0.259189801272321,0.804,0.855,1.15052114651495e-43,"0","Tmem176b"
"Foxn3",7.42854923946018e-48,0.308817222709126,0.655,0.714,2.40476995979805e-43,"0","Foxn3"
"Stab1",5.2439563157247e-47,0.341072611835656,0.552,0.59,1.6975735385264e-42,"0","Stab1"
"Lman2l",7.18834012122858e-47,0.396779144574363,0.304,0.263,2.32700946404412e-42,"0","Lman2l"
"Dip2b",7.59172932025931e-47,0.361171293131655,0.524,0.56,2.45759461555434e-42,"0","Dip2b"
"Rock2",7.73282339647757e-47,0.329073934940929,0.628,0.69,2.50326958990772e-42,"0","Rock2"
"Ppcdc",4.68829615305002e-46,0.365593943228417,0.529,0.567,1.51769523066535e-41,"0","Ppcdc"
"Luc7l3",1.39789814732956e-45,0.358134300200116,0.505,0.53,4.52527588253525e-41,"0","Luc7l3"
"Klhl24",1.2963703094497e-43,0.402298499256509,0.388,0.37,4.19660996575056e-39,"0","Klhl24"
"Sft2d1",2.21574474545522e-43,0.273199144310053,0.643,0.724,7.17280888998763e-39,"0","Sft2d1"
"Csf3r",2.29199711581313e-43,0.303836583184113,0.605,0.661,7.41965306331028e-39,"0","Csf3r"
"Ddx17",2.78037940840594e-43,0.373648612409699,0.475,0.5,9.00064422089169e-39,"0","Ddx17"
"Atraid",5.64794040937893e-43,0.263978963163679,0.65,0.736,1.82835126932415e-38,"0","Atraid"
"Hspa1a",1.0528030168765e-42,0.288857809582281,0.166,0.275,3.4081339262326e-38,"0","Hspa1a"
"Pou2f2",1.20630996142214e-42,0.255446529003834,0.831,0.879,3.90506660711574e-38,"0","Pou2f2"
"Hist3h2a",1.88542857536657e-42,0.387378372622275,0.287,0.242,6.10350938417665e-38,"0","Hist3h2a"
"Tasor",3.54163036894001e-42,0.413832816089462,0.344,0.32,1.14649658303326e-37,"0","Tasor"
"Cxxc5",3.38986823779853e-41,0.319983942212948,0.557,0.608,1.09736814594014e-36,"0","Cxxc5"
"Leng8",3.54315435323165e-41,0.380766188301493,0.365,0.35,1.14698992722815e-36,"0","Leng8"
"Nisch",8.4721412043791e-40,0.33889331548141,0.516,0.559,2.7426015506816e-35,"0","Nisch"
"Ms4a6b",1.41456188166753e-39,0.377635954413947,0.451,0.468,4.57921972333414e-35,"0","Ms4a6b"
"Fubp1",3.19999715507483e-39,0.3024476218743,0.603,0.669,1.03590307904082e-34,"0","Fubp1"
"Atxn7l3b",1.06403676168514e-38,0.309281336987717,0.578,0.65,3.44449980492713e-34,"0","Atxn7l3b"
"4833420G17Rik",4.4916975656165e-38,0.366144168626788,0.261,0.221,1.45405233594137e-33,"0","4833420G17Rik"
"Tnrc6b",4.67037862413487e-38,0.346715356292302,0.497,0.532,1.51189496820494e-33,"0","Tnrc6b"
"Slc38a9",7.72338499927437e-37,0.3926631670647,0.326,0.301,2.5002141919651e-32,"0","Slc38a9"
"Rapgef5",1.20856041856898e-36,0.336559232483996,0.547,0.603,3.9123517869915e-32,"0","Rapgef5"
"Asap1",8.35938470501695e-36,0.31005564255138,0.539,0.599,2.70610001670809e-31,"0","Asap1"
"Ankrd11",1.10111775904805e-35,0.314125765948568,0.6,0.665,3.56453840959035e-31,"0","Ankrd11"
"Tmem176a",1.39308938675615e-35,0.29768785156348,0.644,0.701,4.50970896280701e-31,"0","Tmem176a"
"Ing4",1.66728568588277e-35,0.365914453249962,0.321,0.298,5.3973372223397e-31,"0","Ing4"
"Gm2629",5.32503501020217e-35,0.330563474570781,0.486,0.516,1.72382033350265e-30,"0","Gm2629"
"Herc2",9.11920827539538e-35,0.327129747043868,0.541,0.602,2.95207010291099e-30,"0","Herc2"
"Vps9d1",1.14896721329551e-34,0.359968245823478,0.286,0.254,3.71943666288021e-30,"0","Vps9d1"
"Ppp1r9a",1.35568148864019e-34,0.376179986523456,0.427,0.438,4.38861211502604e-30,"0","Ppp1r9a"
"Tgfbr2",2.91421987415334e-34,0.274603785104313,0.636,0.719,9.4339125766092e-30,"0","Tgfbr2"
"Lpar6",5.51593208766365e-34,0.371011315835214,0.558,0.609,1.78561753541848e-29,"0","Lpar6"
"Ctsf",5.98870024932255e-34,0.250621902625427,0.619,0.692,1.9386620447107e-29,"0","Ctsf"
"Snrnp48",6.5953619307632e-34,0.392257171014412,0.355,0.346,2.13505056422666e-29,"0","Snrnp48"
"Ash1l",7.3399587860331e-34,0.383730634109476,0.466,0.501,2.37609145821464e-29,"0","Ash1l"
"Slc12a6",7.37213734021638e-34,0.353593334024456,0.415,0.425,2.38650829977485e-29,"0","Slc12a6"
"Prkca",1.37638709149549e-33,0.377743620405891,0.332,0.314,4.45564029258921e-29,"0","Prkca"
"Dusp7",3.8949365237509e-33,0.335126924938804,0.444,0.46,1.26086885146864e-28,"0","Dusp7"
"Arl1",9.43757172863583e-33,0.327406537613138,0.489,0.543,3.05513071999399e-28,"0","Arl1"
"Clec4a3",1.06388541547219e-32,0.342660340179477,0.433,0.439,3.44400986696657e-28,"0","Clec4a3"
"Cd302",9.51106333720014e-32,0.298676622217411,0.539,0.607,3.07892142351843e-27,"0","Cd302"
"4632427E13Rik",1.57381088465165e-31,0.318541778371881,0.556,0.612,5.09474059579433e-27,"0","4632427E13Rik"
"Slc8a1",2.05792494645008e-31,0.398676632239334,0.351,0.345,6.6619146366482e-27,"0","Slc8a1"
"Tmed7",4.06810365692815e-31,0.31404056169859,0.505,0.571,1.31692651582078e-26,"0","Tmed7"
"Thrsp",1.41720721908478e-30,0.360795456400253,0.385,0.385,4.58778320962125e-26,"0","Thrsp"
"Tcn2",4.88660266896466e-30,0.259850874251075,0.612,0.692,1.58189101599724e-25,"0","Tcn2"
"Atp2b1",7.54375570024386e-30,0.291881495866685,0.575,0.644,2.44206459528294e-25,"0","Atp2b1"
"Zfp652",9.50825300199696e-30,0.321816403926781,0.506,0.556,3.07801166180645e-25,"0","Zfp652"
"Plxnb2",1.14329999470433e-29,0.277878186834311,0.579,0.659,3.70109074285686e-25,"0","Plxnb2"
"Cpsf6",1.29092561852268e-29,0.362809200351775,0.417,0.441,4.1789844122816e-25,"0","Cpsf6"
"Dennd1c",1.46020138838428e-29,0.357124946962769,0.376,0.378,4.7269639344776e-25,"0","Dennd1c"
"Col27a1",3.20631596778014e-29,0.309841137230339,0.499,0.528,1.03794860508979e-24,"0","Col27a1"
"Sypl",6.56419085690067e-29,0.325838367730643,0.462,0.51,2.12495986419589e-24,"0","Sypl"
"Tm9sf2",9.52137856192414e-29,0.321162140585463,0.479,0.533,3.08226066806608e-24,"0","Tm9sf2"
"Phip",1.12943518905865e-28,0.388070145928974,0.455,0.489,3.65620759402065e-24,"0","Phip"
"Tm6sf1",1.31892336610657e-28,0.290723891693467,0.585,0.647,4.26961872076019e-24,"0","Tm6sf1"
"Akr1b10",1.79958896897252e-28,0.354331601431987,0.393,0.409,5.82562941035785e-24,"0","Akr1b10"
"Dync1i2",3.06187950575372e-28,0.334892060080653,0.51,0.575,9.91191633602595e-24,"0","Dync1i2"
"Nav3",4.2506484844238e-28,0.324639471118875,0.598,0.667,1.37601992737767e-23,"0","Nav3"
"Naa35",7.69510581246232e-28,0.32943222850213,0.454,0.489,2.4910596536103e-23,"0","Naa35"
