"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rsrp1",0,0.842133512946135,0.951,0.909,0,"0","Rsrp1"
"Arhgap45",0,0.811457423794514,0.873,0.773,0,"0","Arhgap45"
"AC149090.1",0,0.804927932323892,0.771,0.669,0,"0","AC149090.1"
"Maf",0,0.753717890183918,0.919,0.881,0,"0","Maf"
"Pnisr",0,0.729639017180621,0.797,0.725,0,"0","Pnisr"
"Nav2",0,0.66773766381416,0.747,0.678,0,"0","Nav2"
"Hpgds",0,0.647295879589715,0.908,0.882,0,"0","Hpgds"
"P2ry12",0,0.626346789562526,0.998,0.987,0,"0","P2ry12"
"Vsir",0,0.59589453659815,0.962,0.947,0,"0","Vsir"
"Ifngr1",0,0.579535942994726,0.96,0.949,0,"0","Ifngr1"
"Arhgap5",0,0.564138205860847,0.942,0.943,0,"0","Arhgap5"
"P2ry13",0,0.555556726414888,0.881,0.877,0,"0","P2ry13"
"Siglech",0,0.553424283666863,0.988,0.981,0,"0","Siglech"
"Gpr34",0,0.54520026970039,0.996,0.989,0,"0","Gpr34"
"Mef2a",0,0.540132147506643,0.935,0.922,0,"0","Mef2a"
"Malat1",0,0.53084601531936,0.999,0.987,0,"0","Malat1"
"Selplg",0,0.522786325179454,0.997,0.995,0,"0","Selplg"
"Cyth4",0,0.515423548263311,0.899,0.906,0,"0","Cyth4"
"Cx3cr1",0,0.480190923220331,0.999,0.996,0,"0","Cx3cr1"
"Atp6v0b",0,0.451736849815342,0.966,0.973,0,"0","Atp6v0b"
"Mef2c",0,0.448271286426835,0.974,0.973,0,"0","Mef2c"
"Tmem119",0,0.446449395503194,0.985,0.985,0,"0","Tmem119"
"Laptm5",0,0.437547828905534,0.998,0.997,0,"0","Laptm5"
"Hexb",0,0.407533930716305,1,0.999,0,"0","Hexb"
"Serinc3",0,0.381987810651026,0.996,0.995,0,"0","Serinc3"
"Trem2",0,0.329021983590384,0.999,0.999,0,"0","Trem2"
"Csf1r",0,0.28594996209085,0.999,0.998,0,"0","Csf1r"
"Tgfbr1",3.77957565180723e-307,0.472622300321156,0.958,0.959,1.22352423000303e-302,"0","Tgfbr1"
"Pag1",3.15982364252404e-306,0.581816479052937,0.823,0.802,1.02289810955788e-301,"0","Pag1"
"Frmd4a",5.34027618810264e-299,0.556108251465496,0.855,0.847,1.72875420761259e-294,"0","Frmd4a"
"Qk",2.95146928018434e-295,0.415994991979811,0.981,0.98,9.55449635381274e-291,"0","Qk"
"Otulinl",1.83908193346485e-289,0.486775811850494,0.895,0.902,5.9534760350124e-285,"0","Otulinl"
"Srgap2",1.50291119917613e-287,0.510395729696369,0.898,0.901,4.86522413397298e-283,"0","Srgap2"
"Mbnl1",8.04079862087478e-287,0.556622625206147,0.859,0.868,2.60296732954958e-282,"0","Mbnl1"
"Lgmn",1.78671310987053e-282,0.262614651992133,0.999,0.999,5.78394767927286e-278,"0","Lgmn"
"Rnase4",5.79468932956563e-278,0.512143397136095,0.887,0.872,1.87585682976699e-273,"0","Rnase4"
